STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
FOREST CANYON ROAD	NW/O SUMNER TAPPS HWY		2650		2700	
FOREST CANYON ROAD	W/O 166 AV E		3600		3750	
FOX DRIVE FI	E/O ISLAND BLVD FI		2250		1950	2025
FOX ISLAND BRIDGE RD	AT BRIDGE		6400		6475	6150
(FOX) ISLAND BLVD FI	W/O 9 AV FI		3400		3150	
(FOX) ISLAND BLVD FI	N/O FOX DR FI		5050		5350	
FRUITLAND AVENUE E	N/O 112 ST E	6150		4975		4975
GARFIELD STREET S	W/O C ST S	1900		1900		1625
GARFIELD STREET S	E/O C ST S	3475		3475		3175
GARFIELD STREET S	E/O AINSWORTH AV S	1575		1325		1125
GEM HEIGHTS DRIVE E	S/O 160 ST E	10675		10700		10425
GEM HEIGHTS DRIVE E	N/O 176 ST E	10725		10225		10400
GEM HEIGHTS DRIVE E	S/O 176 ST E	12100		12375		12425
GOLDEN GIVEN ROAD E	S/O BROOKDALE RD	3950		3650		3675
GOLDEN GIVEN ROAD E	N/O BROOKDALE RD	5525		6425		5350
GOLDEN GIVEN ROAD E	S/O 138 ST E	1700		1375		1475
GOLDEN GIVEN ROAD E	S/O 128 ST E	6500		7675		6400
GOLDEN GIVEN ROAD E	N/O 121 ST E	8125		7850		8125
GOLDEN GIVEN ROAD E	S/O 112 ST E	8450		7800		8150
GOLDEN GIVEN ROAD E	N/O 112 ST E	8575	8075	7325	7500	8175
GOLDEN GIVEN ROAD E	S/O 99 ST E		7275	7300	7025	
GOLDEN GIVEN ROAD E	N/O 99 ST E		6800		6975	
GOLDEN GIVEN ROAD E	S/O 85 ST E		6275		5550	
GOLDEN GIVEN ROAD E	N/O 85 ST E		4825		4425	
GOLDEN GIVEN ROAD E	S/O 72 ST E		5125		4625	
GOLDMAN DRIVE NW	SE/O SR 302	800		775		775
GOLDMAN DRIVE NW	NW/O SR 302	1075		925		900
GOODNOUGH DRIVE N	N/O 62 AV NW		375		425	
GOODNOUGH DRIVE N	E/O S END 302 SPUR		925		775	
GOODRICH DRIVE NW	NE/O SR 302	600		550		500
GRIGGS ROAD E	W/O BROWNE RD E	200		225		175
GRIGGS ROAD E	E/O BROWNE RD E	25		25		25
GUTHRIE RD AI	E/O ECKENSTAM JOHNSON R		375		300	
HALL ROAD KPN	W/O WRIGHT-BLISS RD	1225		650		1250
HARTS LAKE ROAD S	SE/O SR 702	1475		1625		1750
HARTS LAKE ROAD S	SE/O ALLEN RD S	1025		1050		975
HARTS LAKE ROAD S	SE/O HARTS LK VALLEY RD	675		675		650
HARTS LAKE ROAD S	W/O 8 AV S	575		450		450
HARTS LAKE VALLEY R	SW/O HARTS LAKE RD S	450		450		525
HERRON ROAD KPN	W/O KEY PENINSULA HWY	1800		1575		1600
HERRON ROAD KPN	W/O TIEDEMAN RD KPN	425		425		350
HINKLEMAN RD S	E/O 72 AV S	500		475		525
HOFF ROAD KPN	E/O KEY PENINSULA HWY	350		275		250
HUNT STREET NW	E/O 51 AV NW		3025		3650	
HYADA BLVD EXT NE	W/O SR 509		625		450	
JACKSON LAKE ROAD K	SW/O LACKEY RD KPN	875		850		875
JAHN AVENUE NW	N/O 24 ST NW		4000		4475	4325
JAHN AVENUE NW	N/O STONE DR NW		7500		7750	
JENSEN ROAD E	E/O EATONVILLE CUTOFF	550		500		475
JENSEN ROAD E	W/O SR 161	475		425		425
KAPOWSIN HWY	E/O SR 161	3675	2625		2925	
KAPOWSIN HWY	W/O ORTING-KAPOWSIN HWY	2500	2025		2250	
KELLY LAKE ROAD E	W/O 214 AV E					
KELLY LAKE ROAD E	N/O SUMNER-BUCKLEY HWY 2075	1675		1550		
KERNAHAN ROAD E	S/O SR 706	675	950		725	
KEY PENINSULA HWY	S/O SR 302	9300	8450	9050	8825	8650
KEY PENINSULA HWY	N/O OLSON DR/CRAMER RD	8300	8250		7450	
KEY PENINSULA HWY	S/O OLSON DR/CRAMER RD	8750	7375		7600	
KEY PENINSULA HWY	N/O LACKEY RD KPN	6500	6875		6400	
KEY PENINSULA HWY	S/O LACKEY RD KPN	6625	6700		6150	
KEY PENINSULA HWY	N/O HERRON RD KPN	6500	6475		5975	
KEY PENINSULA HWY	S/O HERRON RD KPN	5100	5125		4825	
KEY PENINSULA HWY	S/O CORNWALL RD KPN	4125	3875		4475	
KEY PENINSULA HWY	S/O WHITEMAN RD KPS	2075	1625		1725	
KEY PENINSULA HWY	S/O 40 ST KPS	1275	1025		1050	
KEY PENINSULA HWY	S/O ROUSE RD KPS 950 675		600			
KINSMAN ROAD E	S/O 336 ST E	875	775		800	
KNOBLE RD E	NW/O 66 AV E	8575	9625		9325	
KOPACHUCK DRIVE NW W/O RAY NASH DR NW	2750	2675		2625		
LACKEY ROAD KPN	SE/O SO VAUGHN RD	1475	1500		1525	
LACKEY ROAD KPN	NW/O KEY PENINSULA HWY	1150	1275		1225	
LA-HAL-DA NE	NW/O LE-LOU-WA PL NE 775	850		625		
LAKE DR KPS	W/O WHITEMAN RD KPS	1500	1425		1425	
LAKE JOSEPHINE BV AI	E/O ECKENSTAM-JOHNSON 1325	1275		1175		
LAKE JOSEPHINE BV AI	W/O ECKENSTAM-JOHNSON 375	425		550		
LAKEWOOD DRIVE W	S/O 66 ST W 2	4925	22875		24275	
LAKE TAPPS PARKWAY	W/O 182 AV E					
LAKEWOOD DRIVE W	N/O 66 STREET W					
LE-LOU-WA PLACE NE	W/O SR 509 - S LEG 2050	1800		1650		
LOMBARD DRIVE NW	S/O ROSEDALE ST NW 1250	1275		1300		
LORENZ ROAD KPS	N/O LAKEBAY DOCK RD 75 100		100			
LYONS DRIVE S	SE/O 288 ST S	1325	1575		1325	
MAHNCKE ROAD KPS	E/O 158 AV KPS	100		100		125
MARKHAM AVENUE NE	NW/O SR 509		875		600775	
MARYANNE DRIVE E	NE/O SO TAPPS DR E		2075		1750	
MATHIAS ROAD E	W/O 70 AV E	2575		2125		2250
MATHIAS ROAD E	SW/O 240 ST E	2775		3125		2875
MC CUTCHEON ROAD E	S/O 96 ST E		2900		2675	
MC CUTCHEON ROAD E	S/O RHODES LK RD E		2350		2300	
MC KINLEY AVENUE E	N/O 99 ST E	2150	2300	2025	2125	
MYERS RD E	S/O SO TAPPS DR		2700		2200	
MILITARY ROAD E	W/O 152 ST E/MILITARY	13850	13925	14000	14525	15050
MILITARY ROAD E	S/O 152 ST E	3875		3025		3675
MILITARY ROAD E	W/O 22 AV E	5000		4550		4825
