STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
280 STREET S	E/O ROY CITY LIMITS	550		550		450
288 STREET E	E/O WEBSTER RD E	275		325		275
288 STREET E	W/O ORTING-KAPOWSIN HWY		300		300	
288 STREET E	E/O SR 161		825		825	
288 STREET E	W/O 8 AV E	1150		1050		1000
288 STREET S	W/O 8 AV S	1850		1900		1675
288 STREET S	E/O 56 AV S	950		950		875
288 STREET S	E/O LYONS DR S	875		875		800
288 STREET S	E/O SR 507	1975		1900		1725
296 STREET E	W/O 8 AV E	200		200		150
304 STREET E	W/O SR 161	4900		6575		4950
304 STREET E	E/O BRIDGE #5174-A	3925		3825		3700
304 STREET E	E/O SR 7	4750		6350		4650
304 STREET E	W/O SR 7	1400		1500		1525
304 STREET E	E/O 8 AV E	1350		1200		1200
304 STREET E	W/O 8 AV E	725		900		825
304 STREET S	W/O 8 AV S	350		475		350
308 STREET E	W/O WEBSTER RD E	450		525		400
320 STREET E	E/O SR 7450		500		525	
320 STREET S	W/O 72 AV S	625		675		575
320 STREET S	E/O SR 507	1025		950		900
336 STREET E	W/O KINSMAN RD E	250		250		275
336 STREET E	E/O 40 AV S	675		875		675
336 STREET E	W/O 8 AV S	625		925		625
336 STREET E	E/O SR 507	1200		1150		1075
340 STREET E	E/O SR 7450		475		425	
352 STREET E	E/O EATONVILLE CUTOFF	875		700		825
352 STREET E	W/O SR 161	825		800		900
